| SCOPE-1 | Q1
| SCOPE-1 | ANS 1.1 CORRECT
| SCOPE-1 | ANS 1.2 x
| SCOPE-1 | ANS 1.3 x
| SCOPE-1 | ANS 1.4 x
| SCOPE-1 | Q2
| SCOPE-1 | ANS 2.1 CORRECT
| SCOPE-1 | ANS 2.2 x
| SCOPE-1 | ANS 2.3 x
| SCOPE-1 | ANS 2.4 x
| SCOPE-1 | Q3
| SCOPE-1 | ANS 3.1 CORRECT
| SCOPE-1 | ANS 3.2 x
| SCOPE-1 | ANS 3.3 x
| SCOPE-1 | ANS 3.4 x
| SCOPE-1 | Q4
| SCOPE-1 | ANS 4.1 CORRECT
| SCOPE-1 | ANS 4.2 x
| SCOPE-1 | ANS 4.3 x
| SCOPE-1 | ANS 4.4 x
| SCOPE-1 | Q5
| SCOPE-1 | ANS 5.1 CORRECT
| SCOPE-1 | ANS 5.2 x
| SCOPE-1 | ANS 5.3 x
| SCOPE-1 | ANS 5.4 x
| SCOPE-1 | Q6
| SCOPE-1 | ANS 6.1 CORRECT
| SCOPE-1 | ANS 6.2 x
| SCOPE-1 | ANS 6.3 x
| SCOPE-1 | ANS 6.4 x
| SCOPE-1 | Q7
| SCOPE-1 | ANS 7.1 CORRECT
| SCOPE-1 | ANS 7.2 x
| SCOPE-1 | ANS 7.3 x
| SCOPE-1 | ANS 7.4 x
| SCOPE-1 | Q8
| SCOPE-1 | ANS 8.1 CORRECT
| SCOPE-1 | ANS 8.2 x
| SCOPE-1 | ANS 8.3 x
| SCOPE-1 | ANS 8.4 x
| SCOPE-1 | Q9
| SCOPE-1 | ANS 9.1 CORRECT
| SCOPE-1 | ANS 9.2 x
| SCOPE-1 | ANS 9.3 x
| SCOPE-1 | ANS 9.4 x
| SCOPE-1 | Q10
| SCOPE-1 | ANS 10.1 CORRECT
| SCOPE-1 | ANS 10.2 x
| SCOPE-1 | ANS 10.3 x
| SCOPE-1 | ANS 10.4 x
| SCOPE-1 | Q11
| SCOPE-1 | ANS 11.1 CORRECT
| SCOPE-1 | ANS 11.2 x
| SCOPE-1 | ANS 11.3 x
| SCOPE-1 | ANS 11.4 x
| SCOPE-1 | Q12
| SCOPE-1 | ANS 12.1 CORRECT
| SCOPE-1 | ANS 12.2 x
| SCOPE-1 | ANS 12.3 x
| SCOPE-1 | ANS 12.4 x
| SCOPE-1 | Q13
| SCOPE-1 | ANS 13.1 CORRECT
| SCOPE-1 | ANS 13.2 x
| SCOPE-1 | ANS 13.3 x
| SCOPE-1 | ANS 13.4 x
| SCOPE-1 | Q14
| SCOPE-1 | ANS 14.1 CORRECT
| SCOPE-1 | ANS 14.2 x
| SCOPE-1 | ANS 14.3 x
| SCOPE-1 | ANS 14.4 x
| SCOPE-1 | Q15
| SCOPE-1 | ANS 15.1 CORRECT
| SCOPE-1 | ANS 15.2 x
| SCOPE-1 | ANS 15.3 x
| SCOPE-1 | ANS 15.4 x
| SCOPE-1 | Q16
| SCOPE-1 | ANS 16.1 CORRECT
| SCOPE-1 | ANS 16.2 x
| SCOPE-1 | ANS 16.3 x
| SCOPE-1 | ANS 16.4 x
| SCOPE-1 | Q17
| SCOPE-1 | ANS 17.1 CORRECT
| SCOPE-1 | ANS 17.2 x
| SCOPE-1 | ANS 17.3 x
| SCOPE-1 | ANS 17.4 x
| SCOPE-1 | Q18
| SCOPE-1 | ANS 18.1 CORRECT
| SCOPE-1 | ANS 18.2 x
| SCOPE-1 | ANS 18.3 x
| SCOPE-1 | ANS 18.4 x
| SCOPE-1 | Q19
| SCOPE-1 | ANS 19.1 CORRECT
| SCOPE-1 | ANS 19.2 x
| SCOPE-1 | ANS 19.3 x
| SCOPE-1 | ANS 19.4 x
| SCOPE-1 | Q20
| SCOPE-1 | ANS 20.1 CORRECT
| SCOPE-1 | ANS 20.2 x
| SCOPE-1 | ANS 20.3 x
| SCOPE-1 | ANS 20.4 x
| SCOPE-1 | Q21
| SCOPE-1 | ANS 21.1 CORRECT
| SCOPE-1 | ANS 21.2 x
| SCOPE-1 | ANS 21.3 x
| SCOPE-1 | ANS 21.4 x
| SCOPE-1 | Q22
| SCOPE-1 | ANS 22.1 CORRECT
| SCOPE-1 | ANS 22.2 x
| SCOPE-1 | ANS 22.3 x
| SCOPE-1 | ANS 22.4 x
| SCOPE-1 | Q23
| SCOPE-1 | ANS 23.1 CORRECT
| SCOPE-1 | ANS 23.2 x
| SCOPE-1 | ANS 23.3 x
| SCOPE-1 | ANS 23.4 x
| SCOPE-1 | Q24
| SCOPE-1 | ANS 24.1 CORRECT
| SCOPE-1 | ANS 24.2 x
| SCOPE-1 | ANS 24.3 x
| SCOPE-1 | ANS 24.4 x
| SCOPE-1 | Q25
| SCOPE-1 | ANS 25.1 CORRECT
| SCOPE-1 | ANS 25.2 x
| SCOPE-1 | ANS 25.3 x
| SCOPE-1 | ANS 25.4 x
| SCOPE-1 | Q26
| SCOPE-1 | ANS 26.1 CORRECT
| SCOPE-1 | ANS 26.2 x
| SCOPE-1 | ANS 26.3 x
| SCOPE-1 | ANS 26.4 x
| SCOPE-1 | Q27
| SCOPE-1 | ANS 27.1 CORRECT
| SCOPE-1 | ANS 27.2 x
| SCOPE-1 | ANS 27.3 x
| SCOPE-1 | ANS 27.4 x
| SCOPE-1 | Q28
| SCOPE-1 | ANS 28.1 CORRECT
| SCOPE-1 | ANS 28.2 x
| SCOPE-1 | ANS 28.3 x
